Run,Learning Rate,Gamma,Batch Size,Buffer Size,Exploration Fraction,Target Update Interval,Mean Reward,Std Reward
run_01,0.001,0.99,64,10000,0.2,500,589.45,542.457
run_02,0.0005,0.99,64,10000,0.2,500,708.7,470.407
run_03,0.0001,0.99,64,10000,0.3,500,5.6,30.367
run_04,0.001,0.95,32,5000,0.2,300,764.5,522.376
run_05,0.001,0.9,128,20000,0.15,1000,651.65,498.336
run_06,0.0003,0.99,64,50000,0.25,200,421.7,499.851
run_07,0.001,0.99,256,10000,0.1,500,711.85,527.597
run_08,0.005,0.99,64,10000,0.3,500,455.4,522.107
run_09,0.001,0.98,64,10000,0.2,750,784.4,534.059
run_10,0.001,0.99,64,10000,0.4,500,558.25,563.486
